emp_no,first_name,last_name,from_date,to_date,title
20500,Christoph,Trystram,1998-10-15,9999-01-01,Senior Staff
20712,Valeri,Escriba,1994-04-09,1998-05-02,Engineer
20720,Heejo,Brodie,1996-12-27,1997-05-17,Senior Staff
20885,Otmar,Rothenberg,1996-03-14,9999-01-01,Senior Engineer
21181,Jianhui,Cangellaris,1999-10-06,9999-01-01,Engineer
21188,Piyush,Danecki,2000-01-08,9999-01-01,Engineer
21534,Alagu,Luders,1996-04-03,1997-12-14,Staff
21546,Yongmin,Lanteri,1988-02-16,9999-01-01,Senior Staff
21843,Karsten,Azadmanesh,1985-11-29,9999-01-01,Senior Engineer
21909,Mohammed,Brizzi,1998-12-28,9999-01-01,Senior Staff
22027,Sangeeta,Georg,1992-07-31,1998-03-14,Staff
22185,Huai,Birch,2002-03-26,9999-01-01,Engineer
22415,Perla,Jumpertz,1994-08-24,9999-01-01,Senior Staff
22451,Jasminko,Bresenham,1996-12-15,9999-01-01,Senior Staff
22455,Barry,Unno,1999-11-16,9999-01-01,Senior Staff
22502,Rutger,Binkley,1989-10-16,2001-11-02,Senior Engineer
22926,Manibrata,Genther,1996-01-15,9999-01-01,Senior Engineer
23396,Hilari,Fairtlough,1986-12-15,9999-01-01,Technique Leader
24080,Jaana,Perez,1996-03-11,9999-01-01,Technique Leader
24189,Abdelaziz,Atrawala,1993-03-28,1997-02-23,Staff
24205,Roddy,Rubsam,1993-09-19,9999-01-01,Senior Engineer
24377,Lubomir,Wroclawski,2000-07-25,9999-01-01,Senior Engineer
24394,Zhonghui,Conta,1994-09-10,9999-01-01,Staff
24421,Dannz,Grospietsch,1990-09-01,2000-10-12,Senior Engineer
24553,Anwar,Passafiume,1994-01-30,9999-01-01,Senior Staff
24571,Cordelia,Gischer,1995-03-14,9999-01-01,Senior Engineer
25488,Ingmar,Basawa,1997-11-08,9999-01-01,Senior Staff
26476,Bilhanan,Karcich,1996-04-09,1997-02-04,Staff
26503,Shietung,Billingsley,1998-11-07,1998-12-02,Senior Staff
26617,Berto,Bruckman,1991-11-23,1994-03-27,Engineer
26629,Nevin,Rodham,1998-12-14,9999-01-01,Senior Staff
26671,Jiakeng,Kalorkoti,2001-12-25,9999-01-01,Senior Engineer
26788,Zongyan,Dalphin,1993-04-23,9999-01-01,Senior Engineer
27150,Chenyi,Plump,1992-06-23,1995-05-22,Staff
27331,Wanqing,Krohm,1999-01-22,9999-01-01,Senior Staff
27378,Piyawadee,Leppanen,1999-02-25,9999-01-01,Senior Staff
27620,Shuji,Kandlur,1997-03-02,9999-01-01,Senior Engineer
27686,Manu,Rosiles,1998-03-03,9999-01-01,Senior Staff
27699,Falguni,Pezzoli,1996-12-23,9999-01-01,Engineer
27767,Tooru,Veldwijk,2000-11-21,9999-01-01,Senior Staff
27970,KayLiang,Miyakawa,1995-11-22,2000-02-07,Technique Leader
28193,Xinglin,Mitsuhashi,1997-12-14,9999-01-01,Senior Engineer
28222,Mayuko,Vitiello,1993-12-22,1995-10-16,Technique Leader
28974,Chenxi,Sundgren,1986-09-02,9999-01-01,Senior Engineer
28988,Tua,Giveon,1998-09-09,9999-01-01,Technique Leader
29130,Xumin,Thorensen,1998-04-26,9999-01-01,Staff
29265,Gilbert,Calkin,1994-03-21,9999-01-01,Senior Staff
29380,Satoru,Vidal,1998-05-02,9999-01-01,Assistant Engineer
29418,Valery,Mersereau,1998-07-01,9999-01-01,Assistant Engineer
29679,Kolar,Steenbeek,1986-10-18,9999-01-01,Senior Engineer
29782,Jouko,Hellwagner,1994-12-21,9999-01-01,Senior Engineer
29954,Pranay,Giarratana,1992-09-29,9999-01-01,Senior Engineer
30007,Kousuke,Vecchio,1999-02-23,9999-01-01,Senior Engineer
30035,Tetsushi,Conta,1995-07-04,9999-01-01,Senior Staff
30154,Mayuko,Skafidas,1999-04-19,9999-01-01,Technique Leader
30182,Leon,Potthoff,1993-12-08,9999-01-01,Senior Engineer
30465,Randi,Avouris,1991-07-16,9999-01-01,Senior Engineer
30484,Sailaja,Chvatal,1999-05-18,9999-01-01,Staff
30552,Yishai,Terlouw,1992-09-18,1999-01-07,Senior Engineer
30695,Gudjon,Majewski,1999-10-26,9999-01-01,Senior Engineer
30938,Yakkov,Samarati,2000-05-22,9999-01-01,Senior Staff
31147,Divine,Sidhu,1989-07-05,9999-01-01,Senior Staff
31170,Tuval,Waleschkowski,1987-10-16,1988-12-14,Senior Staff
31188,Leandro,Gist,1993-02-03,9999-01-01,Technique Leader
31207,Abdelwaheb,Dulin,1993-08-05,9999-01-01,Senior Engineer
31341,Oksana,Zultner,1997-03-22,9999-01-01,Senior Staff
31514,Harngdar,Schapire,2001-11-09,9999-01-01,Senior Engineer
31568,Mark,Lalonde,1996-11-24,9999-01-01,Staff
31599,Qingxiang,Gewali,1997-09-22,1998-12-01,Engineer
31629,Toong,Veldwijk,1995-07-28,1996-04-26,Engineer
31909,Murthy,Peek,1994-07-19,9999-01-01,Engineer
32347,Terresa,Peres,1997-09-15,9999-01-01,Senior Staff
32552,Atreye,Stanger,1999-09-10,9999-01-01,Engineer
32622,Piyush,Paciorek,1991-04-07,1991-08-07,Staff
32649,Ingmar,Nannarelli,1988-06-10,9999-01-01,Senior Staff
32714,Radoslaw,Maliniak,1997-11-17,9999-01-01,Staff
32844,Tadahiko,Melton,1995-01-07,9999-01-01,Engineer
33025,Jessie,Thorelli,1999-12-16,9999-01-01,Senior Staff
33215,Steen,Fasbender,1993-02-14,9999-01-01,Technique Leader
33293,Adamantios,Vanwelkenhuysen,2000-01-11,2000-08-18,Engineer
33606,Clyde,Swift,1994-11-14,1996-12-29,Staff
33722,Anwar,Collette,1994-03-22,9999-01-01,Senior Engineer
34077,Angel,Sichman,1997-11-16,9999-01-01,Senior Staff
34261,Kyoichi,Callaway,1996-12-29,9999-01-01,Senior Staff
34446,Chinhyun,Bauknecht,1986-12-19,9999-01-01,Senior Engineer
34452,Naftaly,Foong,2000-05-09,9999-01-01,Senior Engineer
34505,Felicidad,Kumaresan,2001-09-06,9999-01-01,Senior Staff
34533,Erzsebet,Shigei,1991-01-21,9999-01-01,Senior Engineer
34780,Moni,Kohling,1994-07-21,9999-01-01,Staff
34788,Ennio,Babu,1994-08-31,9999-01-01,Senior Engineer
34936,Bokyung,Stamatiou,1991-02-12,9999-01-01,Technique Leader
35044,Jiang,Waschkowski,1997-05-27,9999-01-01,Senior Engineer
35087,Leif,Ashish,2001-10-14,9999-01-01,Senior Staff
35441,Chandrasekaran,Peek,1993-02-06,9999-01-01,Senior Engineer
35642,Ashish,Talmon,2002-06-13,9999-01-01,Senior Engineer
35793,Oscar,Kusalik,1996-05-10,9999-01-01,Senior Staff
35798,Ulf,Oberman,1997-03-15,9999-01-01,Senior Engineer
36521,Serif,Gladwell,1993-03-05,9999-01-01,Senior Staff
36626,Fen,Genin,1986-05-09,9999-01-01,Senior Staff
36733,Uma,Reinhard,1997-11-01,9999-01-01,Staff
36844,Hailing,Levergood,2000-01-12,9999-01-01,Staff
36982,Kotesh,Rajala,2000-06-23,9999-01-01,Senior Engineer
37070,Jeong,Undy,1993-02-13,9999-01-01,Senior Staff
37592,Berni,Stranks,1985-11-05,1992-09-19,Engineer
37719,Nakhoon,Buescher,1997-06-12,1999-01-17,Engineer
37945,Suzette,Butterworth,1994-02-19,9999-01-01,Senior Engineer
38017,Ulf,Himler,1994-01-02,1997-11-28,Staff
38043,Michaela,Randi,1994-11-23,9999-01-01,Senior Engineer
38103,Masasuke,Babu,1993-03-31,9999-01-01,Senior Engineer
38168,Fumiko,Deverell,1996-08-14,9999-01-01,Senior Staff
38550,JoAnne,Baez,1987-02-16,9999-01-01,Senior Engineer
38593,Huei,Orsini,1995-06-04,9999-01-01,Senior Engineer
38947,Shuichi,Ruemmler,1998-03-08,9999-01-01,Senior Staff
39000,Martijn,Vendrig,2002-03-03,9999-01-01,Senior Staff
39036,Changho,Cappelli,1996-05-04,9999-01-01,Staff
39268,Constantijn,Awdeh,1987-10-20,1990-06-10,Engineer
39301,Rimon,Kawashima,1998-02-05,9999-01-01,Senior Staff
39341,Mahmut,Lampe,1994-05-11,9999-01-01,Senior Engineer
39952,Otmar,Sudbeck,1998-07-22,9999-01-01,Staff
40269,Toshiki,Ghazalie,2000-12-04,9999-01-01,Senior Staff
40283,Sudhanshu,Boissier,1993-05-11,9999-01-01,Senior Engineer
40301,Spyrose,Felder,1996-06-16,9999-01-01,Senior Engineer
40536,Harngdar,Bernardinello,1996-02-29,9999-01-01,Senior Engineer
40648,Wayne,Erev,1990-09-19,1993-02-02,Staff
40765,Michaela,Ramsak,2001-12-21,9999-01-01,Senior Staff
40773,Shimshon,Aingworth,1991-04-13,9999-01-01,Senior Staff
40785,Youpyo,Castellani,1998-09-04,1999-10-14,Engineer
40983,Marla,Cherinka,1986-12-01,9999-01-01,Technique Leader
41114,Petter,Thummel,1995-12-24,9999-01-01,Technique Leader
41137,Bikash,Buchter,1992-11-22,9999-01-01,Senior Staff
41357,Willard,Vernadat,1997-03-04,9999-01-01,Engineer
41518,Keung,Schapiro,1998-04-19,9999-01-01,Senior Engineer
41520,Xiong,Uhrik,1988-03-21,9999-01-01,Senior Engineer
41552,Uno,Heyers,1999-09-28,2001-11-29,Senior Engineer
41609,Yucai,Simmen,1987-10-13,9999-01-01,Senior Staff
42778,Shuji,Remmers,1996-12-17,9999-01-01,Senior Staff
42911,Brigham,Eterovic,1999-10-08,9999-01-01,Senior Engineer
42950,Shaleah,Eickenmeyer,1993-10-09,9999-01-01,Senior Staff
42955,Yucel,Lortz,1995-02-21,9999-01-01,Engineer
43154,Maha,Waterhouse,2002-07-04,9999-01-01,Senior Staff
43358,Ottavia,Mitsuhashi,1989-08-18,1996-07-13,Staff
43733,Huei,Boguraev,1998-12-31,9999-01-01,Senior Staff
43848,Phillip,Oxenboll,1999-05-26,9999-01-01,Engineer
44054,Alenka,Ritcey,1997-02-09,9999-01-01,Engineer
44265,Maria,Eppinger,1997-01-30,9999-01-01,Engineer
44540,Mingzeng,Sadowski,1989-11-12,9999-01-01,Senior Engineer
44900,Mark,Schwaller,2001-08-10,9999-01-01,Senior Staff
44959,Volkmar,Uhrik,1995-01-16,9999-01-01,Senior Engineer
44962,Sariel,Wynblatt,1996-05-18,9999-01-01,Assistant Engineer
45162,Dulce,Speel,1996-10-18,9999-01-01,Senior Engineer
45590,Masoud,Genin,1991-02-16,1994-06-01,Technique Leader
46000,Zhaofang,Penn,2002-07-24,9999-01-01,Senior Staff
46015,Weiye,Masand,1995-07-24,2002-01-29,Staff
46222,Mrinalini,Strooper,1990-03-05,1992-09-04,Staff
46328,Wuxu,Trogemann,1997-01-27,9999-01-01,Senior Staff
46531,Yaghout,Peng,1995-10-02,1997-10-07,Assistant Engineer
46811,Junsik,Berendt,1988-04-27,9999-01-01,Senior Engineer
46834,Tooru,Daescu,1998-03-20,9999-01-01,Senior Staff
46943,Pasqua,Maraist,1998-12-06,9999-01-01,Senior Engineer
47016,Toong,Litecky,1994-03-01,9999-01-01,Senior Staff
47139,Marco,Usdin,1996-10-29,9999-01-01,Engineer
47262,Gonzalo,Binkley,1990-08-16,9999-01-01,Senior Engineer
47515,Naraig,Jenevein,1987-01-18,9999-01-01,Senior Engineer
47702,Juyoung,Vieri,1999-08-12,9999-01-01,Senior Staff
47708,Edwin,Haldar,1995-07-12,9999-01-01,Senior Staff
48275,Sariel,Massonet,1993-11-19,9999-01-01,Senior Staff
48690,Hitomi,Schaap,1999-09-27,9999-01-01,Staff
48882,Leen,Lamparter,2001-06-07,9999-01-01,Senior Engineer
48904,Yuichiro,Malabarba,1999-03-07,9999-01-01,Senior Staff
48947,Filipp,Akaboshi,1992-05-20,9999-01-01,Senior Staff
49010,Kazuhisa,Benantar,1994-10-23,9999-01-01,Senior Staff
49017,Filipp,Flanders,1999-11-26,9999-01-01,Senior Engineer
49119,Lena,Peek,1997-05-15,9999-01-01,Senior Engineer
49177,Tze,Bach,1999-03-09,9999-01-01,Engineer
49464,Siddarth,Cappelletti,1999-09-10,9999-01-01,Staff
49477,Baocai,Leaver,1998-08-05,9999-01-01,Senior Staff
50293,Xinan,Rindone,1996-10-08,9999-01-01,Engineer
50311,Mooi,Stafford,1996-10-06,9999-01-01,Senior Engineer
50360,Sumali,Kushner,1999-10-30,2001-10-29,Engineer
50453,Aron,Harbusch,1997-10-02,9999-01-01,Staff
50587,Slavian,Yemenis,1993-08-06,1994-11-18,Technique Leader
50670,Boguslaw,Snedden,1993-02-20,9999-01-01,Senior Staff
50831,Marie,Khalid,1990-10-27,9999-01-01,Senior Engineer
51036,Chriss,Fasbender,1995-05-23,9999-01-01,Staff
51057,Theirry,Albarhamtoshy,1996-09-26,9999-01-01,Senior Staff
51060,Youngkon,Rohrbach,1998-10-20,9999-01-01,Senior Engineer
51118,Fumiko,Mundy,1998-09-22,2001-08-20,Staff
51142,Rosine,Lakshmanan,1991-01-31,9999-01-01,Senior Engineer
51502,Slavian,Munawer,1999-08-06,2001-09-04,Senior Staff
51868,Remmert,Munke,1991-09-22,1998-05-19,Assistant Engineer
52038,Chikako,Armand,1985-05-18,9999-01-01,Senior Engineer
52040,Phule,Heijenga,1998-02-21,9999-01-01,Senior Staff
52283,Trygve,Krupka,2001-03-11,9999-01-01,Senior Staff
52386,Adas,Denti,1995-05-30,9999-01-01,Senior Staff
52590,Jouni,Munoz,2000-11-25,9999-01-01,Senior Staff
52599,Augustine,Mungall,1996-08-30,9999-01-01,Senior Engineer
52639,Arup,Colorni,1996-02-05,9999-01-01,Senior Staff
52770,Shugo,Yurek,1998-08-28,9999-01-01,Senior Staff
52778,Alain,Penn,1986-05-03,9999-01-01,Technique Leader
52956,Khalil,Picci,1992-03-20,9999-01-01,Senior Engineer
52970,Lobel,Werthner,1997-03-17,9999-01-01,Senior Engineer
53088,Mechthild,Lamma,1992-05-18,1993-06-03,Senior Engineer
53278,Premsyl,Lortz,1999-02-01,9999-01-01,Senior Staff
53314,Eberhardt,Carrera,1999-02-23,9999-01-01,Staff
53431,Sham,Vasanthakumar,1985-10-24,9999-01-01,Senior Staff
53499,Zdislav,Mandelberg,2000-09-10,9999-01-01,Senior Engineer
53597,Jiafu,Marchegay,1992-03-02,9999-01-01,Senior Engineer
53746,Manu,Erva,1989-03-17,1993-04-29,Staff
53874,Bodo,Schade,1995-02-14,9999-01-01,Senior Staff
53891,Olivera,Pargaonkar,1989-03-13,1992-03-29,Staff
53924,Arnould,Gaughan,1998-01-23,9999-01-01,Senior Engineer
54198,Shaowen,Segond,1993-01-06,9999-01-01,Senior Engineer
54632,Etsuo,Serot,1997-06-14,9999-01-01,Senior Staff
54795,Sumant,Nergos,2000-05-07,9999-01-01,Senior Staff
54800,Breannda,Cangellaris,2000-01-27,9999-01-01,Staff
55121,Toshiko,Alblas,1995-07-20,1996-07-23,Engineer
55640,Adit,Syrotiuk,1999-07-16,9999-01-01,Senior Engineer
55670,Ulf,Ranft,1990-03-25,1996-05-17,Senior Staff
55687,Shih,Lindqvist,1995-03-29,9999-01-01,Senior Engineer
55799,Jianwen,Litzler,1993-06-16,9999-01-01,Senior Engineer
55857,Adin,Scallan,1996-09-14,9999-01-01,Senior Staff
56105,Makato,Remmers,1994-04-16,9999-01-01,Senior Engineer
56209,Remzi,Douceur,1998-12-01,9999-01-01,Senior Engineer
56415,Sigeru,Nivat,1999-10-24,9999-01-01,Senior Staff
56428,Olivera,Hanabata,1992-11-09,9999-01-01,Senior Staff
56682,Roded,Picco,1993-11-06,9999-01-01,Assistant Engineer
56829,Nagui,Gruenwald,1995-12-24,9999-01-01,Engineer
56847,Menkae,Chinin,1989-08-19,9999-01-01,Senior Engineer
57934,Sanjoy,Boudaillier,1997-12-27,9999-01-01,Senior Engineer
57982,Paloma,Benzaken,1989-10-17,1998-09-11,Senior Staff
58141,Bezalel,Karner,1994-09-27,9999-01-01,Staff
58147,Shigenori,Sullins,1988-02-24,9999-01-01,Senior Staff
58217,Kiyotoshi,Kusalik,1998-11-19,1999-06-26,Engineer
58384,Mariusz,Vural,2001-11-14,9999-01-01,Senior Engineer
58454,Ziya,Zambonelli,1999-06-29,9999-01-01,Engineer
58497,Yechiam,Cairo,1996-07-12,9999-01-01,Senior Staff
58601,Sungwon,Asser,2000-01-27,2000-04-01,Staff
58819,Gennady,Liesche,1987-12-02,9999-01-01,Senior Staff
58990,Palash,Trelles,1998-11-18,9999-01-01,Engineer
59195,Ronnie,Pollock,1990-06-19,9999-01-01,Technique Leader
59329,Zissis,Bazzichi,1987-02-07,1991-01-25,Staff
59640,Zita,Hiltgen,1999-01-26,9999-01-01,Staff
59661,Saeko,Baik,1996-05-23,1999-08-15,Staff
59869,Zsolt,Riefers,1994-09-25,9999-01-01,Senior Staff
59966,Steen,Salvesen,1993-02-03,9999-01-01,Technique Leader
60000,Heekeun,Emmart,2001-09-22,9999-01-01,Engineer
60091,Surveyors,Bade,1996-04-10,9999-01-01,Senior Staff
60238,Erzsebet,Claffy,1997-03-03,9999-01-01,Staff
60559,Jeanna,Stemann,1996-08-29,9999-01-01,Senior Engineer
60821,Moty,Mersereau,1999-09-03,9999-01-01,Senior Staff
60845,Bedir,Siegrist,1997-05-13,9999-01-01,Engineer
60875,Rildo,Masaki,1997-01-14,9999-01-01,Senior Engineer
60959,Tetsushi,Sridhar,1997-01-12,9999-01-01,Senior Staff
61147,Leszek,Werthner,1999-03-03,9999-01-01,Staff
61253,Cheong,Uhrik,2001-06-04,9999-01-01,Senior Engineer
61377,Dannz,Ohori,1994-01-17,9999-01-01,Senior Staff
61541,Kasidit,Papsdorf,1999-08-17,9999-01-01,Senior Engineer
61680,Hauke,Templeman,1991-10-23,1999-02-21,Staff
61873,Woody,Rusmann,2002-02-26,9999-01-01,Engineer
61983,Sastry,Reeken,1990-07-24,1992-05-17,Staff
62033,Heeju,Cappelli,1994-01-15,9999-01-01,Senior Engineer
62046,Karlis,Nanard,2001-09-19,9999-01-01,Senior Engineer
62167,Mihalis,Haldar,1998-05-11,2001-02-03,Senior Engineer
62245,Adel,Bressoud,1995-08-30,9999-01-01,Engineer
62384,Akeel,Litzler,1999-10-23,2001-12-21,Senior Staff
63294,Tetsushi,Tanemo,2002-03-01,9999-01-01,Senior Engineer
63419,Hiroyasu,Seuren,1989-03-05,9999-01-01,Senior Engineer
63441,Hinrich,Scallan,1999-04-04,9999-01-01,Staff
63444,Padma,Peres,1991-02-20,1994-12-22,Senior Staff
63566,Heekeun,Slaats,1999-01-12,9999-01-01,Senior Staff
63631,Falguni,Cherinka,1986-09-08,9999-01-01,Senior Engineer
63706,Sedat,Itzigehl,1997-07-31,9999-01-01,Engineer
64023,Laurentiu,Benzmuller,1999-11-08,9999-01-01,Senior Engineer
64209,Golgen,Schoegge,1988-02-26,9999-01-01,Senior Staff
64431,Faiza,Zongker,1995-12-10,2001-12-03,Technique Leader
64487,Tsutomu,Rebaine,1994-09-17,9999-01-01,Senior Engineer
64532,Atilio,Segond,1996-11-28,9999-01-01,Senior Engineer
64632,Zsolt,Brender,1996-02-21,9999-01-01,Senior Staff
64790,Shin,Piveteau,1993-04-19,9999-01-01,Senior Engineer
64828,Krister,Pappas,1999-09-30,9999-01-01,Staff
64984,Eldridge,Eldridge,1991-06-24,9999-01-01,Senior Engineer
65013,Chandrasekaran,Peral,1992-02-29,2001-12-14,Senior Engineer
65171,Jeane,Tasistro,1994-07-06,9999-01-01,Technique Leader
65539,Aksel,Picaronny,1998-01-27,9999-01-01,Senior Engineer
65883,Patricia,Pepe,1996-04-18,9999-01-01,Senior Staff
65998,Mandell,Alameldin,1996-04-08,9999-01-01,Senior Staff
66382,Domenico,Candan,1997-07-13,9999-01-01,Engineer
66530,Dung,Leaver,1998-04-04,9999-01-01,Staff
66643,Jianhao,Tomescu,1996-08-26,9999-01-01,Engineer
66702,Deniz,Thibadeau,2000-09-26,9999-01-01,Senior Engineer
66757,Yonghong,Baig,1999-04-10,9999-01-01,Staff
66807,Aiman,Rosaz,1999-05-22,9999-01-01,Senior Engineer
67320,Sadok,Lorys,1987-05-10,9999-01-01,Senior Staff
67548,Fumitaka,Roohalamini,1998-06-27,9999-01-01,Staff
67934,Aiman,Gargeya,1993-03-07,9999-01-01,Senior Engineer
68022,Kristinn,Pearson,1995-05-07,1999-06-26,Staff
68168,Marl,Thiria,1992-03-17,1996-12-31,Senior Staff
68263,Fumiko,Bodoff,1991-12-19,1993-07-11,Staff
68416,Munenori,Debuse,1990-11-08,9999-01-01,Senior Engineer
68608,Yucai,Seghrouchni,1994-06-09,9999-01-01,Senior Engineer
68633,Chinhyun,Rassart,1993-07-29,9999-01-01,Senior Engineer
68648,Jaques,DiGiano,1992-04-01,9999-01-01,Technique Leader
69052,Shietung,Shrader,1995-08-05,9999-01-01,Senior Staff
69219,Shuky,Redmiles,1994-07-06,9999-01-01,Senior Staff
69867,Miyeon,Rothe,1997-04-08,9999-01-01,Senior Staff
69878,Chinya,Cooke,1997-01-29,9999-01-01,Engineer
69936,Lalit,Unni,1998-12-06,9999-01-01,Assistant Engineer
70469,Tru,Miyakawa,1998-09-03,9999-01-01,Senior Staff
70780,Behnaam,Angelov,1995-01-29,1999-07-20,Assistant Engineer
70990,Arumugam,Nitta,1990-03-23,9999-01-01,Senior Engineer
71066,Domenick,Basart,2001-01-04,9999-01-01,Senior Staff
71141,Sajjad,Vitiello,1997-02-16,9999-01-01,Senior Staff
71188,Pranjal,Schapiro,1993-12-14,9999-01-01,Senior Staff
71243,Kinh,Buchter,1993-03-29,9999-01-01,Senior Engineer
71334,Cathie,Peck,1998-04-12,9999-01-01,Senior Engineer
71685,Kristinn,Olano,1989-10-03,9999-01-01,Senior Engineer
71710,Hitomi,Takanami,1997-12-15,9999-01-01,Assistant Engineer
71745,Adil,Laventhal,2001-05-13,9999-01-01,Engineer
72190,Sajjad,Waeselynck,1999-09-13,9999-01-01,Engineer
72194,Feiyu,Siepmann,1998-10-01,9999-01-01,Senior Engineer
72232,Naraig,Veldwijk,1996-07-10,9999-01-01,Senior Engineer
72640,Honglan,Hutton,1998-10-04,9999-01-01,Senior Engineer
72918,Takahira,Szilard,1993-01-15,9999-01-01,Senior Staff
73076,Froduald,Feldhoffer,1993-03-16,9999-01-01,Senior Engineer
73233,Shigeo,Merey,1985-07-30,9999-01-01,Senior Engineer
73516,Qingxiang,Badache,1996-06-25,9999-01-01,Senior Engineer
73743,Anneke,Bernardeschi,1999-11-01,9999-01-01,Engineer
73794,Aiichiro,Castellani,1985-08-26,1987-08-19,Engineer
73903,Bartek,Cappello,1988-07-28,1993-01-02,Engineer
74200,Holgard,Weiland,1991-09-24,9999-01-01,Senior Engineer
74237,Jaihie,Vilarrasa,2001-03-03,2001-06-20,Engineer
74344,Hiroyasu,Provine,1994-11-25,9999-01-01,Engineer
74598,Kolar,Garigliano,1992-05-10,1999-03-07,Senior Staff
74668,Masako,Bonifati,1987-04-09,9999-01-01,Senior Staff
74800,Yuuichi,Conde,1999-03-08,9999-01-01,Senior Engineer
75113,Zissis,Birch,1999-08-19,2000-07-15,Senior Engineer
75354,Shuky,Jakobus,1993-06-16,9999-01-01,Senior Engineer
75420,Clyde,Vrecion,1997-07-03,2000-09-14,Engineer
75703,Kyoichi,Erman,2001-07-25,9999-01-01,Senior Engineer
75760,Jahangir,Radhakrishnan,1991-04-19,1993-12-29,Technique Leader
75888,Marsal,Otillio,1994-01-23,1999-09-16,Staff
76178,Chiradeep,Meriste,1988-05-23,1997-06-25,Senior Engineer
76189,Kolar,Hinsberger,1994-10-20,9999-01-01,Senior Engineer
76201,Arif,Preusig,1992-04-02,9999-01-01,Senior Engineer
76417,Parviz,Duclos,1989-12-27,1993-12-31,Senior Engineer
76598,Keung,Ferriere,1991-05-13,1995-10-08,Engineer
76640,Tristan,Mitsuhashi,2000-07-12,9999-01-01,Senior Engineer
76847,Mariusz,Weiland,1989-08-16,1994-11-09,Senior Engineer
77030,Faiza,Garnham,1986-03-02,9999-01-01,Technique Leader
